experiment_id,type,model,dataset,num_samples_evaluated,num_hallucinations,hallucination_rate,truthX_autoencoder,truthX_steering_vectors,num_pairs,contrastive_weight,editing_weight,reconstruction_weight,temperature,edit_strength,top_k_modules,ae_training_time_seconds,inference_time_seconds,highlight
Gemma_Base_BBC,Baseline,google/gemma-2-9b-it,belief_bank_constraints,12756,5697,0.4466133584195673,,,,,,,,,,,,
Gemma_TruthX_BBC,TruthX_Standard,google/gemma-2-9b-it,belief_bank_constraints,12202,5088,0.4169808228159318,AutoEncoder/belief_bank_constraints/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7707.509375810623,3160.706998348236,
LLama_Base_BBC,Baseline,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,12068,6376,0.5283394100099437,,,,,,,,,,,,
LLama_TruthX_BBC,TruthX_Standard,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,11764,5795,0.4926045562733764,AutoEncoder/belief_bank_constraints/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7536.246771335602,3002.1352684497833,
LLama_Base_BBF,Baseline,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,969,0.06721698113207547,,,,,,,,,,,,
LLama_TruthX_BBF,TruthX_Standard,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,4054,0.28121531631520535,AutoEncoder/belief_bank_facts/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,5846.633331775665,3647.721772670746,
Gemma_Base_BBF,Baseline,google/gemma-2-9b-it,belief_bank_facts,14416,412,0.02857935627081021,,,,,,,,,,,,
Gemma_TruthX_BBF,TruthX_Standard,google/gemma-2-9b-it,belief_bank_facts,14416,479,0.03322697003329634,AutoEncoder/belief_bank_facts/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,10266.847489356995,3616.381681919098,
Gemma_BBF_TO_BBC,Cross-Dataset,google/gemma-2-9b-it,belief_bank_constraints,12776,5341,0.41804946775203505,AutoEncoder/belief_bank_facts/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,10266.847489356995,3423.22985124588,
Gemma_BBC_TO_BBF,Cross-Dataset,google/gemma-2-9b-it,belief_bank_facts,14416,486,0.033712541620421754,AutoEncoder/belief_bank_constraints/autoencoder_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_google_gemma-2-9b-it_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7707.509375810623,3853.116781234741,
LLama_BBF_TO_BBC,Cross-Dataset,meta-llama/Llama-3.1-8B-Instruct,belief_bank_constraints,12780,6539,0.5116588419405321,AutoEncoder/belief_bank_facts/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_facts/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,5919.908364057541,3247.65860414505,
LLama_BBC_TO_BBF,Cross-Dataset,meta-llama/Llama-3.1-8B-Instruct,belief_bank_facts,14416,2348,0.16287458379578246,AutoEncoder/belief_bank_constraints/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/belief_bank_constraints/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs6500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,6500,1.0,1.0,0.0,0.1,1,1,7536.246771335602,3638.422351360321,
Gemma_Base_HE,Baseline,google/gemma-2-9b-it,halu_eval,7500,1813,0.24173333333333333,,,,,,,,,,,,
Gemma_TruthX_HE,Stanadard,google/gemma-2-9b-it,halu_eval,7500,1186,0.15813333333333332,AutoEncoder/halu_eval/autoencoder_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_google_gemma-2-9b-it_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,1809.9647269248962,3193.3110070228577,
LLama_Base_HE,Baseline,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,2072,0.27626666666666666,,,,,,,,,,,,
LLama_TruthX_HE,Stanadard,meta-llama/Llama-3.1-8B-Instruct,halu_eval,7500,1031,0.13746666666666665,AutoEncoder/halu_eval/autoencoder_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,SteeringVectors/halu_eval/steering_vectors_meta-llama_Llama-3.1-8B-Instruct_pairs2500_cw1.0_tw1.0_ew1.0_rw0.0_mlp.pt,2500,1.0,1.0,0.0,0.1,1,1,150.16942310333252,38286.7624502182,
