model,train_dataset,layer_type,layer,num_samples,eval_dataset,split_seed,train_size,test_size,train_hall,train_not_hall,test_hall,test_not_hall,fit_time_s,model_params,precision,recall,accuracy,f1,auroc,total_runtime_s,num_splits,created_at_utc
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,2,2760,8225,1380,1380,591,7634,10.5446,4097,0.3595206391478029,0.9137055837563451,0.876838905775076,0.5160057333970377,0.9407572854010046,49.14,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,4,2760,8225,1380,1380,591,7634,11.6141,4097,0.38456237077877325,0.9441624365482234,0.8874164133738602,0.5465230166503428,0.9497731894051326,61.449,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,24,2760,8225,1380,1380,591,7634,10.2487,4097,0.37482993197278913,0.9323181049069373,0.8834042553191489,0.534691897137312,0.9494093571062221,72.396,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,42,2760,8225,1380,1380,591,7634,11.1645,4097,0.381211708645337,0.9475465313028765,0.8857142857142857,0.5436893203883495,0.9569343576935848,84.263,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,64,2760,8225,1380,1380,591,7634,11.78,4097,0.40294117647058825,0.9272419627749577,0.896048632218845,0.5617631983598155,0.9463050907264544,96.748,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,67,2760,8225,1380,1380,591,7634,10.7218,4097,0.3601036269430052,0.9407783417935702,0.8756231003039514,0.5208430913348946,0.9433915509340838,108.191,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,104,2760,8225,1380,1380,591,7634,11.6599,4097,0.35279187817258884,0.9407783417935702,0.8717325227963526,0.5131518227964929,0.949884012523899,120.584,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,123,2760,8225,1380,1380,591,7634,10.3747,4097,0.37108594270486345,0.9424703891708968,0.8810942249240121,0.5325047801147228,0.9523815223284204,131.68,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,420,2760,8225,1380,1380,591,7634,9.4205,4097,0.35586734693877553,0.9441624365482234,0.8731914893617021,0.5169059749884206,0.956226641257142,141.823,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,511,2760,8225,1380,1380,591,7634,8.5636,4097,0.35960912052117266,0.934010152284264,0.8757446808510638,0.5192850423330198,0.9424512167713501,151.117,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,mean,0,0,0,0,0,0,10.60924,4097.0,0.37025237422956964,0.9367174280879865,0.8806808510638298,0.5305363877500407,0.9487514224147293,6303.514,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_facts,std,0,0,0,0,0,0,0.9793985237889632,0.0,0.015027753214930663,0.00969647971701822,0.007178649249931216,0.015311865999607462,0.005263916572864563,6303.514,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,2,2760,25878,1380,1380,3058,22820,8.9579,4097,0.32045454545454544,0.046108567691301505,0.8757245536749363,0.08061749571183534,0.3791644335714601,161.622,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,4,2760,25878,1380,1380,3058,22820,10.2182,4097,0.4591078066914498,0.08077174623937214,0.8801298400185485,0.13737486095661847,0.3955445666572471,173.391,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,24,2760,25878,1380,1380,3058,22820,8.7473,4097,0.41082164328657317,0.0670372792674951,0.8783909111987016,0.11526567332021366,0.5755259404937209,183.692,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,42,2760,25878,1380,1380,3058,22820,10.3197,4097,0.2684478371501272,0.06899934597776325,0.8677641239663034,0.10978147762747138,0.8380832964096414,195.549,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,64,2760,25878,1380,1380,3058,22820,10.5099,4097,0.42992424242424243,0.07423152387181164,0.8789705541386506,0.12660345789180144,0.7839267443506753,207.585,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,67,2760,25878,1380,1380,3058,22820,9.2694,4097,0.21937842778793418,0.03924133420536298,0.8699667671381096,0.06657420249653259,0.8306039488383796,218.4,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,104,2760,25878,1380,1380,3058,22820,9.9251,4097,0.5888888888888889,0.1039895356442119,0.8855398407914058,0.17676486937187327,0.8578432943231901,229.869,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,123,2760,25878,1380,1380,3058,22820,9.1487,4097,0.6131045241809673,0.2570307390451275,0.8930365561480794,0.3622119815668203,0.8689662436252895,240.559,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,420,2760,25878,1380,1380,3058,22820,9.1297,4097,0.24842767295597484,0.051667756703727925,0.8694644099234872,0.08554412560909583,0.5078099483603301,251.228,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,511,2760,25878,1380,1380,3058,22820,9.1875,4097,0.2034139402560455,0.046762589928057555,0.8657160522451504,0.07604360542408933,0.32093457972049577,261.95,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,mean,0,0,0,0,0,0,9.54134,4097.0,0.37619695290767485,0.08358404185742314,0.8764703609243373,0.13367817499763518,0.635840299635043,6303.514,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,belief_bank_constraints,std,0,0,0,0,0,0,0.6035754703431875,0.0,0.14064524647925963,0.06068540492863197,0.00814503273847949,0.08247118441109923,0.2114751720707696,6303.514,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,2,2760,10000,1380,1380,1912,8088,9.158,4097,0.18858695652173912,0.36297071129707115,0.5796,0.24821173104434907,0.49134119352395617,271.851,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,4,2760,10000,1380,1380,1912,8088,9.9632,4097,0.18670788253477588,0.3158995815899582,0.6061,0.23469982514085874,0.4930724439636799,282.547,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,24,2760,10000,1380,1380,1912,8088,8.958,4097,0.18981772470144564,0.3158995815899582,0.6114,0.23714173537495092,0.4985697016397039,292.249,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,42,2760,10000,1380,1380,1912,8088,10.3761,4097,0.19064005505849965,0.2897489539748954,0.629,0.22997094229970944,0.49401283838032684,303.354,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,64,2760,10000,1380,1380,1912,8088,10.3962,4097,0.18396418396418396,0.23640167364016737,0.6535,0.20691233691920347,0.4910930082895679,314.498,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,67,2760,10000,1380,1380,1912,8088,8.7414,4097,0.18829787234042553,0.4628661087866109,0.5158,0.2676950998185118,0.49325040273518495,324.006,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,104,2760,10000,1380,1380,1912,8088,10.5027,4097,0.19820627802690582,0.34675732217573224,0.6069,0.252235115084649,0.504670286110111,335.278,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,123,2760,10000,1380,1380,1912,8088,8.8602,4097,0.18401394422310757,0.3865062761506276,0.555,0.24932523616734142,0.4901950342777564,344.906,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,420,2760,10000,1380,1380,1912,8088,9.2921,4097,0.19020821609454136,0.35355648535564854,0.5886,0.2473472374679839,0.4925811173845027,354.965,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,511,2760,10000,1380,1380,1912,8088,8.6181,4097,0.18216216216216216,0.35251046025104604,0.5736,0.24019957234497505,0.48856407964275805,364.341,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,mean,0,0,0,0,0,0,9.486600000000001,4097.0,0.18826052756277867,0.3423117154811715,0.59195,0.24137388316625324,0.4937350105947548,6303.514,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,0,27416,halu_eval,std,0,0,0,0,0,0,0.707489052918842,0.0,0.004324340561993839,0.057042545702946625,0.036915748671806706,0.015290167775758333,0.004438665123867979,6303.514,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,1,27416,belief_bank_facts,2,2760,8225,1380,1380,591,7634,10.2969,4097,0.3622895622895623,0.9103214890016921,0.878419452887538,0.5183044315992292,0.94267674181804,376.203,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,1,27416,belief_bank_facts,4,2760,8225,1380,1380,591,7634,10.411,4097,0.3921293042867182,0.9441624365482234,0.8908206686930091,0.5541211519364448,0.9537357808397467,387.343,10,2026-09-18T18:12:31.490606+00:00
Llama-3.1-8B-Instruct,belief_bank_facts,hidden,1,27416,belief_bank_facts,24,2760,8225,1380,1380,591,7634,9.9307,4097,0.3789764868603043,0.9272419627749577,0.8855927051671733,0.538046146293569,0.9523500485626905,397.996,10,2026-09-18T18:12:31.490606+00:00
