source_file,source_experiment,source_seed,encoder_experiment,head_experiment,dataset_train,dataset_head,dataset_activation,layer_type,teacher_model,student_model,seed,device,head_source_mode,status,runtime_seconds,teacher_eval_samples,student_eval_samples,teacher_on_eval_accuracy,teacher_on_eval_precision,teacher_on_eval_recall,teacher_on_eval_f1,teacher_on_eval_auroc,teacher_on_eval_confusion_matrix,student_adapter_on_eval_accuracy,student_adapter_on_eval_precision,student_adapter_on_eval_recall,student_adapter_on_eval_f1,student_adapter_on_eval_auroc,student_adapter_on_eval_confusion_matrix
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_104\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_104,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,155.958,15354,1792,0.5017584994138335,0.5020715052938468,0.42620815422691155,0.4610398760039453,0.5153765006300275,"[[4432,3245],[4405,3272]]",0.7561383928571429,0.9508840864440079,0.5401785714285714,0.6889679715302491,0.7579974738919004,"[[871,25],[412,484]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_104\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_104,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,155.299,15354,1792,0.49153315097043115,0.4891158740790355,0.3804871694672398,0.4280167045204777,0.48352702795588093,"[[4626,3051],[4756,2921]]",0.5864955357142857,0.6045883940620783,0.5,0.5473427000610873,0.6157961475605868,"[[603,293],[448,448]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_104\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_104,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,104,cuda:0,same_as_encoder_domain,ok,77.045,15354,1792,0.5322391559202814,0.5284123521983699,0.5995831705093135,0.5617525018306078,0.5461908138187569,"[[3569,4108],[3074,4603]]",0.6618303571428571,0.8251121076233184,0.4107142857142857,0.5484351713859911,0.6085778061224489,"[[818,78],[528,368]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_123\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_123,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,123,cuda:0,same_as_encoder_domain,ok,171.153,15354,1792,0.5327601927836394,0.5318072593904135,0.5477400026051843,0.5396560574948666,0.5343028066780339,"[[3975,3702],[3472,4205]]",0.7299107142857143,0.917004048582996,0.5055803571428571,0.6517985611510791,0.7671116420200893,"[[855,41],[443,453]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_123\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_123,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,123,cuda:0,same_as_encoder_domain,ok,114.42,15354,1792,0.4646997525074899,0.4521370540445072,0.33346359254917285,0.3838368693305345,0.45523416465250155,"[[4575,3102],[5117,2560]]",0.6010044642857143,0.6081242532855436,0.5680803571428571,0.5874206578188114,0.640350341796875,"[[568,328],[387,509]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_123\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_123,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,123,cuda:0,same_as_encoder_domain,ok,102.1,15354,1792,0.5218184186531197,0.5203449532369732,0.5580304806565064,0.5385292269013199,0.5409247579705889,"[[3728,3949],[3393,4284]]",0.6752232142857143,0.9025641025641026,0.39285714285714285,0.5474339035769828,0.6792085608657525,"[[858,38],[544,352]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_2\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_2,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,171.499,15354,1792,0.49348703920802395,0.49236174763214174,0.41982545265077503,0.4532095901005414,0.5182459786390836,"[[4354,3323],[4454,3223]]",0.7511160714285714,0.95,0.5301339285714286,0.6805157593123209,0.7681523537149235,"[[871,25],[421,475]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_2\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_2,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,147.078,15354,1792,0.49798098215448744,0.49740759324301725,0.3873909079067344,0.4355594610427651,0.4915034154909784,"[[4672,3005],[4703,2974]]",0.47935267857142855,0.48444070647603027,0.6428571428571429,0.5525179856115108,0.5839370416135203,"[[283,613],[320,576]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_2\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_2,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,2,cuda:0,same_as_encoder_domain,ok,73.795,15354,1792,0.5200599192392862,0.5147340221967087,0.7007945812166211,0.5935241877654587,0.5465940710355408,"[[2605,5072],[2297,5380]]",0.47488839285714285,0.4701195219123506,0.3950892857142857,0.42935112189205576,0.515487359494579,"[[497,399],[542,354]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_24\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_24,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,158.811,15354,1792,0.5146541617819461,0.5162831089882761,0.46463462289957014,0.4890991361579597,0.5296456876369072,"[[4335,3342],[4110,3567]]",0.7092633928571429,0.8964059196617337,0.4732142857142857,0.6194302410518627,0.7077811104910714,"[[847,49],[472,424]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_24\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_24,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,123.905,15354,1792,0.49172853979419046,0.48912857387433656,0.3721505796535105,0.42269566503920697,0.47157256774510004,"[[4693,2984],[4820,2857]]",0.5524553571428571,0.5560859188544153,0.5200892857142857,0.5374855824682814,0.5143426389110332,"[[524,372],[430,466]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_24\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_24,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,24,cuda:0,same_as_encoder_domain,ok,100.602,15354,1792,0.5388172463201771,0.5571538166474875,0.3784030220138075,0.45070204018307347,0.5567630111471653,"[[5368,2309],[4772,2905]]",0.6936383928571429,0.8699360341151386,0.45535714285714285,0.5978021978021978,0.6719833685427297,"[[835,61],[488,408]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_4\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_4,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,4,cuda:0,same_as_encoder_domain,ok,164.12,15354,1792,0.4942685945030611,0.49327011318446007,0.4200859710824541,0.45374604291241644,0.5203708480044626,"[[4364,3313],[4452,3225]]",0.7260044642857143,0.9612756264236902,0.47098214285714285,0.6322097378277154,0.6824016960299745,"[[879,17],[474,422]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_4\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_4,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,4,cuda:0,same_as_encoder_domain,ok,154.797,15354,1792,0.4797446919369545,0.4686933762834709,0.30324345447440404,0.3682378993989244,0.46302003302580996,"[[5038,2639],[5349,2328]]",0.5385044642857143,0.5329512893982808,0.6227678571428571,0.5743695316520844,0.6521550392617985,"[[407,489],[338,558]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_4\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_4,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,hidden,Falcon3-7B-Base,gemma-2-9b-it,4,cuda:0,same_as_encoder_domain,ok,92.663,15354,1792,0.5264426208154227,0.5214678510998308,0.6423081933046763,0.5756143115624818,0.5303870215601655,"[[3152,4525],[2746,4931]]",0.6997767857142857,0.8729166666666667,0.46763392857142855,0.6090116279069767,0.6456597775829082,"[[835,61],[477,419]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_42\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_42,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,attn,Falcon3-7B-Base,gemma-2-9b-it,42,cuda:0,same_as_encoder_domain,ok,166.686,15354,1792,0.5148495506057054,0.516564952048823,0.4630715123094959,0.4883577168761591,0.5347403381707062,"[[4350,3327],[4122,3555]]",0.7427455357142857,0.8904847396768402,0.5535714285714286,0.6827253957329663,0.7329531299824618,"[[835,61],[400,496]]"
results\cross_domain_one_for_all\FalconToGemma_BBC__activation__belief_bank_facts\seed_42\results.csv,FalconToGemma_BBC__activation__belief_bank_facts,seed_42,FalconToGemma_BBC,FalconToGemma_BBC,belief_bank_constraints,belief_bank_constraints,belief_bank_facts,mlp,Falcon3-7B-Base,gemma-2-9b-it,42,cuda:0,same_as_encoder_domain,ok,184.913,15354,1792,0.4807867656636707,0.4725785461981781,0.3311189266640615,0.3893995098039216,0.46496853409380146,"[[4840,2837],[5135,2542]]",0.44363839285714285,0.4575273338940286,0.6071428571428571,0.5218225419664269,0.4836052096619898,"[[251,645],[352,544]]"
